video_id,seq,name_on_video,phase_on_video,start_sec,end_sec,duration_sec
TXE6Y_FpayU,7,양팔,,356,400,44
TXE6Y_FpayU,8,옆구리 늘리기,,832,852,20
TXE6Y_FpayU,9,양팔 위로 뻗기,,874,904,30
TXE6Y_FpayU,10,교차 뛰기,,904,936,32
TXE6Y_FpayU,11,스케이트 점프,,936,966,30
TXE6Y_FpayU,12,투명 출넘기,,966,998,32
TXE6Y_FpayU,13,가슴 활짝 펴기,,998,1028,30
TXE6Y_FpayU,14,견갑 모으기,,1028,1058,30
TXE6Y_FpayU,15,'키 쑥쑥' 스트레칭,,1060,1102,42
TmVZ2gdZnQQ,1,옆으로 누워 발 뒤로 넘기기,준비운동,90,126,36
TmVZ2gdZnQQ,2,넙다리 안쪽 늘리기 (나비자세),준비운동,130,168,38
TmVZ2gdZnQQ,3,척추 들어올리기 (고양이자세),준비운동,174,212,38
TmVZ2gdZnQQ,4,엎드려 어깨 눌러주기 (아기자세),준비운동,216,256,40
TmVZ2gdZnQQ,5,누워서 무릎 구부려 당기기,준비운동,264,310,46
TmVZ2gdZnQQ,6,다리 뻗어 상체 숙이기,준비운동,316,368,52
TmVZ2gdZnQQ,7,상체숙여 발목 잡기,준비운동,376,440,64
TmVZ2gdZnQQ,8,서서 공 바닥에 튀겨 주고받기,본운동,446,478,32
TmVZ2gdZnQQ,9,손 마주잡고 서서 다리 뒤로 뻗어 상체숙이기,본운동,482,514,32
TmVZ2gdZnQQ,10,가위-바위-보 달리기,본운동,516,548,32
TmVZ2gdZnQQ,11,눈 감고 외발서기,본운동,554,584,30
TmVZ2gdZnQQ,12,외발로 뛰어 좌우로 이동,본운동,590,622,32
TmVZ2gdZnQQ,13,일어나며 공 받기,본운동,628,660,32
TmVZ2gdZnQQ,14,제자리 5방향 뛰기,본운동,666,700,34
TmVZ2gdZnQQ,15,공잡기,본운동,704,738,34
TmVZ2gdZnQQ,16,서서 공 바닥에 튀겨 주고받기,본운동,774,804,30
TmVZ2gdZnQQ,17,손 마주잡고 서서 다리 뒤로 뻗어 상체숙이기,본운동,808,840,32
TmVZ2gdZnQQ,18,가위-바위-보 달리기,본운동,846,876,30
TmVZ2gdZnQQ,19,눈 감고 외발서기,본운동,882,916,34
TmVZ2gdZnQQ,20,외발로 뛰어 좌우로 이동,본운동,922,952,30
TmVZ2gdZnQQ,21,일어나며 공 받기,본운동,958,990,32
TmVZ2gdZnQQ,22,제자리 5방향 뛰기,본운동,994,1026,32
TmVZ2gdZnQQ,23,공잡기,본운동,1030,1062,32
TmVZ2gdZnQQ,24,옆으로 누워 발 뒤로 넘기기,정리운동,1106,1160,54
TmVZ2gdZnQQ,25,손목잡고 팔 늘리기,정리운동,1164,1212,48
TmVZ2gdZnQQ,26,다리 뒤 늘리기,정리운동,1216,1256,40
TmVZ2gdZnQQ,27,손 뒤로 깍지 끼고 가슴펴기,정리운동,1260,1286,26
TmVZ2gdZnQQ,28,누워서 무릎 구부려 당기기,정리운동,1290,1330,40
TmVZ2gdZnQQ,29,한 팔 뻗어 옆구리 스트레칭,정리운동,1334,1378,44
TmVZ2gdZnQQ,30,엎드려 상체 들어올리기,정리운동,1384,1406,22
TmVZ2gdZnQQ,31,가슴 뒤로 젖히기,정리운동,1412,1432,20
TmVZ2gdZnQQ,32,가슴 열고 몸 회전하기,정리운동,1438,1458,20
TmVZ2gdZnQQ,33,팔 뒤로 젖히며 가슴 스트레칭,정리운동,1484,1506,22
TmVZ2gdZnQQ,34,어깨 후면 스트레칭,정리운동,1510,1530,20
TmVZ2gdZnQQ,35,양팔 벌려 전신 비틀기,정리운동,1536,1556,20
TmVZ2gdZnQQ,36,다리 뻗어 상체 숙이기,정리운동,1560,1606,46
TmVZ2gdZnQQ,37,어깨 늘리기,정리운동,1612,1650,38
V9cymtUC61I,1,멘탈 케어' 운동,,10,66,56
V9cymtUC61I,2,목 돌리기,,66,96,30
V9cymtUC61I,3,Y•T•W 운동,,100,214,114
V9cymtUC61I,4,스트레칭,,214,248,34
V9cymtUC61I,5,스트레칭,,250,274,24
V9cymtUC61I,6,목 돌리기,,540,570,30
V9cymtUC61I,7,Y•T•W 운동,,570,660,90
V9cymtUC61I,8,햄스트링 스트레칭,,660,690,30
V9cymtUC61I,9,내전근 스트레칭,,690,720,30
V9cymtUC61I,10,이상근 스트레칭,,720,750,30
V9cymtUC61I,11,광배근 스트레칭,,750,782,32
V9cymtUC61I,12,손 깍지 끼고 몸통 비틀기,,782,810,28
V9cymtUC61I,13,한 발 버티고 다리 올리기,,810,870,60
V9cymtUC61I,14,마운틴 클라이머,,870,900,30
V9cymtUC61I,15,허들 스텝,,900,930,30
V9cymtUC61I,16,멘탈 케어' 운동,,930,978,48
XSn6DE3cxy4,1,옆으로 누워 발 뒤로 넘기기,준비운동,86,124,38
XSn6DE3cxy4,2,넙다리 안쪽 늘리기 (나비자세),준비운동,128,166,38
XSn6DE3cxy4,3,척추 들어올리기 (고양이자세),준비운동,172,208,36
XSn6DE3cxy4,4,엎드려 어깨 눌러주기 (아기자세),준비운동,214,254,40
XSn6DE3cxy4,5,누워서 무릎 구부려 당기기,준비운동,260,306,46
XSn6DE3cxy4,6,다리 뻗어 상체 숙이기,준비운동,312,364,52
XSn6DE3cxy4,7,상체숙여 발목 잡기,준비운동,372,436,64
XSn6DE3cxy4,8,팔굽혀펴기 & 팔꿈치 당기기,본운동,442,468,26
XSn6DE3cxy4,9,팔 말아올리기 & 팔 밑으로 내리기,본운동,474,510,36
XSn6DE3cxy4,10,누워서 다리올리기 & 쪼그려 앉고 일어서기,본운동,514,554,40
XSn6DE3cxy4,11,윗몸일으키기 & 팔 뒤로 펴주기,본운동,556,604,48
XSn6DE3cxy4,12,서서 다리 모으고 벌리기,본운동,608,670,62
XSn6DE3cxy4,13,휴식,본운동,674,736,62
XSn6DE3cxy4,14,팔굽혀펴기 & 팔꿈치 당기기,본운동,740,772,32
