age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,unit,lower_is_better,status,n_measured,n,method,grade3_from_p25,anchor_0,anchor_40,anchor_60,anchor_80,anchor_100,value_min,value_max,score_p10,score_p25,score_p50,score_p75,score_p90,score_mean
성인,30,34,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,22779,22779,ecdf,0,-14.9,4.6,9.4,14.2,23.7,-30.0,48.0,12.26,35.07,61.65,83.22,94.09,57.54
성인,30,34,세,M,근지구력,019,교차윗몸일으키기,회,0,ok,22785,22785,ecdf,0,15.0,35.0,41.0,47.0,61.0,0.0,83.0,16.4,43.22,66.58,87.86,95.71,61.97
성인,30,34,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,6817,6817,ecdf,0,5.0,31.0,40.0,49.0,73.0,0.0,106.0,12.85,40.0,60.0,85.24,94.34,58.05
성인,30,34,세,M,민첩성,021,10m4회왕복달리기,초,1,anchors_not_monotonic,6320,0,,,,,,,,8.1,60.0,,,,,,
성인,30,34,세,M,순발력,022,제자리멀리뛰기,cm,0,ok,14364,14364,ecdf,1,153.0,198.0,204.0,219.0,256.0,0.0,295.0,14.05,40.0,73.21,88.59,96.25,64.25
성인,30,34,세,M,근력,028,상대악력,%,0,ok,23162,23162,ecdf,0,40.9,51.8,57.2,62.6,81.978,0.0,156.5,22.3,49.88,74.35,89.02,96.21,66.89
성인,30,34,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,2781,2781,ecdf,0,31.7,38.2,40.6,42.9,50.44,20.9,59.9,21.68,48.99,74.43,89.2,96.37,66.66
성인,30,34,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,13552,13552,ecdf,0,33.6,38.2,40.6,42.9,49.8,20.0,58.5,29.46,56.83,80.48,90.57,96.78,70.5
성인,30,34,세,M,민첩성,040,반응시간,초,1,ok,16427,16427,ecdf,1,-0.473,-0.371,-0.337,-0.304,-0.259,0.13,1.999,14.23,40.0,57.3,75.42,90.17,55.36
성인,30,34,세,M,순발력,041,성인체공시간,초,0,ok,8392,8392,ecdf,1,0.425,0.517,0.548,0.583,0.663,0.001,0.866,14.18,40.0,64.75,84.1,94.47,59.98
성인,30,34,세,F,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,8242,8242,ecdf,0,-7.6,9.4,13.8,18.2,29.0,-23.0,35.5,15.66,42.77,69.78,87.76,95.78,63.04
성인,30,34,세,F,근지구력,019,교차윗몸일으키기,회,0,ok,8235,8235,ecdf,0,0.0,19.0,25.0,31.0,51.0,0.0,73.0,17.12,43.39,69.69,87.97,95.8,63.84
