age_group,sex,age,grade,n,ratio
어르신,F,91,1등급,2,0.0179
어르신,F,91,2등급,3,0.0268
어르신,F,91,3등급,10,0.0893
어르신,F,91,참가,23,0.2054
어르신,F,92,1등급,2,0.027
어르신,F,92,2등급,3,0.0405
어르신,F,92,3등급,5,0.0676
어르신,F,92,참가,19,0.2568
어르신,F,93,1등급,0,0.0
어르신,F,93,2등급,2,0.0526
어르신,F,93,3등급,4,0.1053
어르신,F,93,참가,16,0.4211
어르신,F,94,1등급,0,0.0
어르신,F,94,2등급,0,0.0
어르신,F,94,3등급,1,0.027
어르신,F,94,참가,20,0.5405
어르신,F,95,1등급,0,0.0
어르신,F,95,2등급,1,0.0345
어르신,F,95,3등급,3,0.1034
어르신,F,95,참가,8,0.2759
어르신,F,96,1등급,0,0.0
어르신,F,96,2등급,0,0.0
어르신,F,96,3등급,0,0.0
어르신,F,96,참가,4,0.4
어르신,F,97,1등급,0,0.0
어르신,F,97,2등급,0,0.0
어르신,F,97,3등급,0,0.0
어르신,F,97,참가,2,0.25
어르신,F,98,1등급,0,0.0
어르신,F,98,2등급,0,0.0
어르신,F,98,3등급,0,0.0
어르신,F,98,참가,3,0.375
어르신,F,99,1등급,0,0.0
어르신,F,99,2등급,0,0.0
어르신,F,99,3등급,0,0.0
어르신,F,99,참가,1,0.5
어르신,F,100,1등급,0,0.0
어르신,F,100,2등급,0,0.0
어르신,F,100,3등급,0,0.0
어르신,F,100,참가,0,0.0
어르신,F,101,1등급,0,0.0
어르신,F,101,2등급,0,0.0
어르신,F,101,3등급,0,0.0
어르신,F,101,참가,2,0.6667
어르신,F,102,1등급,0,0.0
어르신,F,102,2등급,0,0.0
어르신,F,102,3등급,0,0.0
어르신,F,102,참가,0,0.0
어르신,F,103,1등급,0,0.0
어르신,F,103,2등급,0,0.0
어르신,F,103,3등급,0,0.0
어르신,F,103,참가,0,0.0
어르신,F,377,1등급,0,0.0
어르신,F,377,2등급,0,0.0
어르신,F,377,3등급,0,0.0
어르신,F,377,참가,1,1.0
어르신,F,378,1등급,1,1.0
어르신,F,378,2등급,0,0.0
어르신,F,378,3등급,0,0.0
어르신,F,378,참가,0,0.0
어르신,F,972,1등급,1,1.0
어르신,F,972,2등급,0,0.0
어르신,F,972,3등급,0,0.0
어르신,F,972,참가,0,0.0
어르신,F,976,1등급,0,0.0
어르신,F,976,2등급,0,0.0
어르신,F,976,3등급,1,1.0
어르신,F,976,참가,0,0.0
어르신,F,984,1등급,0,0.0
어르신,F,984,2등급,0,0.0
어르신,F,984,3등급,0,0.0
어르신,F,984,참가,1,1.0
어르신,F,1081,1등급,0,0.0
어르신,F,1081,2등급,0,0.0
어르신,F,1081,3등급,0,0.0
어르신,F,1081,참가,0,0.0
어르신,M,65,1등급,965,0.1877
어르신,M,65,2등급,1633,0.3176
어르신,M,65,3등급,1354,0.2634
어르신,M,65,참가,477,0.0928
어르신,M,66,1등급,731,0.1791
어르신,M,66,2등급,1201,0.2943
어르신,M,66,3등급,1072,0.2627
어르신,M,66,참가,443,0.1086
어르신,M,67,1등급,676,0.1766
어르신,M,67,2등급,1120,0.2926
어르신,M,67,3등급,966,0.2524
어르신,M,67,참가,407,0.1063
어르신,M,68,1등급,538,0.1632
어르신,M,68,2등급,943,0.2861
어르신,M,68,3등급,877,0.2661
어르신,M,68,참가,341,0.1035
어르신,M,69,1등급,418,0.1437
어르신,M,69,2등급,757,0.2603
어르신,M,69,3등급,794,0.273
어르신,M,69,참가,387,0.1331
어르신,M,70,1등급,599,0.2224
어르신,M,70,2등급,754,0.28
어르신,M,70,3등급,604,0.2243
어르신,M,70,참가,259,0.0962
어르신,M,71,1등급,427,0.1916
어르신,M,71,2등급,602,0.2701
어르신,M,71,3등급,569,0.2553
어르신,M,71,참가,241,0.1081
어르신,M,72,1등급,331,0.156
어르신,M,72,2등급,543,0.2559
어르신,M,72,3등급,551,0.2597
어르신,M,72,참가,302,0.1423
어르신,M,73,1등급,274,0.142
어르신,M,73,2등급,450,0.2333
어르신,M,73,3등급,546,0.283
어르신,M,73,참가,232,0.1203
어르신,M,74,1등급,218,0.1359
어르신,M,74,2등급,382,0.2382
어르신,M,74,3등급,403,0.2512
어르신,M,74,참가,263,0.164
어르신,M,75,1등급,285,0.1865
어르신,M,75,2등급,389,0.2546
어르신,M,75,3등급,376,0.2461
어르신,M,75,참가,187,0.1224
어르신,M,76,1등급,230,0.1675
어르신,M,76,2등급,354,0.2578
어르신,M,76,3등급,312,0.2272
어르신,M,76,참가,176,0.1282
어르신,M,77,1등급,179,0.1441
어르신,M,77,2등급,292,0.2351
어르신,M,77,3등급,323,0.2601
어르신,M,77,참가,206,0.1659
어르신,M,78,1등급,150,0.1318
어르신,M,78,2등급,221,0.1942
어르신,M,78,3등급,286,0.2513
어르신,M,78,참가,182,0.1599
어르신,M,79,1등급,83,0.1057
어르신,M,79,2등급,158,0.2013
어르신,M,79,3등급,200,0.2548
어르신,M,79,참가,137,0.1745
어르신,M,80,1등급,112,0.1635
어르신,M,80,2등급,177,0.2584
어르신,M,80,3등급,151,0.2204
어르신,M,80,참가,109,0.1591
어르신,M,81,1등급,82,0.1285
어르신,M,81,2등급,143,0.2241
어르신,M,81,3등급,145,0.2273
어르신,M,81,참가,112,0.1755
어르신,M,82,1등급,72,0.1173
어르신,M,82,2등급,134,0.2182
어르신,M,82,3등급,133,0.2166
어르신,M,82,참가,126,0.2052
어르신,M,83,1등급,42,0.0888
어르신,M,83,2등급,94,0.1987
어르신,M,83,3등급,102,0.2156
어르신,M,83,참가,81,0.1712
어르신,M,84,1등급,25,0.0708
어르신,M,84,2등급,63,0.1785
어르신,M,84,3등급,79,0.2238
어르신,M,84,참가,69,0.1955
어르신,M,85,1등급,39,0.1489
어르신,M,85,2등급,44,0.1679
어르신,M,85,3등급,56,0.2137
어르신,M,85,참가,49,0.187
어르신,M,86,1등급,22,0.1063
어르신,M,86,2등급,38,0.1836
어르신,M,86,3등급,42,0.2029
어르신,M,86,참가,38,0.1836
어르신,M,87,1등급,10,0.0606
어르신,M,87,2등급,16,0.097
어르신,M,87,3등급,27,0.1636
어르신,M,87,참가,40,0.2424
어르신,M,88,1등급,17,0.1735
어르신,M,88,2등급,10,0.102
어르신,M,88,3등급,17,0.1735
어르신,M,88,참가,22,0.2245
어르신,M,89,1등급,6,0.0606
어르신,M,89,2등급,11,0.1111
어르신,M,89,3등급,15,0.1515
어르신,M,89,참가,30,0.303
어르신,M,90,1등급,0,0.0
어르신,M,90,2등급,5,0.0893
어르신,M,90,3등급,8,0.1429
어르신,M,90,참가,11,0.1964
어르신,M,91,1등급,1,0.0345
어르신,M,91,2등급,2,0.069
어르신,M,91,3등급,4,0.1379
어르신,M,91,참가,9,0.3103
어르신,M,92,1등급,0,0.0
어르신,M,92,2등급,3,0.1667
어르신,M,92,3등급,1,0.0556
어르신,M,92,참가,11,0.6111
어르신,M,93,1등급,1,0.0476
어르신,M,93,2등급,3,0.1429
어르신,M,93,3등급,0,0.0
어르신,M,93,참가,7,0.3333
어르신,M,94,1등급,1,0.0667
어르신,M,94,2등급,0,0.0
어르신,M,94,3등급,0,0.0
어르신,M,94,참가,4,0.2667
어르신,M,95,1등급,0,0.0
어르신,M,95,2등급,0,0.0
어르신,M,95,3등급,1,0.3333
어르신,M,95,참가,1,0.3333
어르신,M,96,1등급,0,0.0
어르신,M,96,2등급,1,0.5
어르신,M,96,3등급,0,0.0
어르신,M,96,참가,1,0.5
어르신,M,97,1등급,0,0.0
어르신,M,97,2등급,0,0.0
어르신,M,97,3등급,0,0.0
어르신,M,97,참가,12,0.9231
어르신,M,98,1등급,0,0.0
어르신,M,98,2등급,0,0.0
어르신,M,98,3등급,0,0.0
어르신,M,98,참가,1,1.0
어르신,M,99,1등급,0,0.0
어르신,M,99,2등급,0,0.0
어르신,M,99,3등급,0,0.0
어르신,M,99,참가,1,1.0
어르신,M,100,1등급,0,0.0
어르신,M,100,2등급,0,0.0
어르신,M,100,3등급,0,0.0
어르신,M,100,참가,2,1.0
어르신,M,1071,1등급,0,0.0
어르신,M,1071,2등급,0,0.0
어르신,M,1071,3등급,0,0.0
어르신,M,1071,참가,1,1.0
유소년,F,11,1등급,912,0.0322
유소년,F,11,2등급,2785,0.0983
유소년,F,11,3등급,6462,0.2282
유소년,F,11,참가,18164,0.6413
유소년,F,12,1등급,476,0.0428
유소년,F,12,2등급,1097,0.0987
유소년,F,12,3등급,1803,0.1623
유소년,F,12,참가,7733,0.6961
유소년,M,11,1등급,684,0.0229
유소년,M,11,2등급,2402,0.0806
유소년,M,11,3등급,4603,0.1544
유소년,M,11,참가,22124,0.7421
유소년,M,12,1등급,321,0.0255
유소년,M,12,2등급,965,0.0766
유소년,M,12,3등급,1925,0.1528
유소년,M,12,참가,9389,0.7452
유아기,F,48,1등급,2,0.014
유아기,F,48,2등급,6,0.042
유아기,F,48,3등급,22,0.1538
유아기,F,48,참가,113,0.7902
유아기,F,49,1등급,0,0.0
유아기,F,49,2등급,7,0.049
유아기,F,49,3등급,19,0.1329
유아기,F,49,참가,117,0.8182
유아기,F,50,1등급,0,0.0
유아기,F,50,2등급,8,0.0672
유아기,F,50,3등급,12,0.1008
유아기,F,50,참가,99,0.8319
유아기,F,51,1등급,2,0.0157
유아기,F,51,2등급,10,0.0787
유아기,F,51,3등급,19,0.1496
유아기,F,51,참가,96,0.7559
유아기,F,52,1등급,3,0.0204
유아기,F,52,2등급,7,0.0476
유아기,F,52,3등급,19,0.1293
유아기,F,52,참가,118,0.8027
유아기,F,53,1등급,4,0.0234
유아기,F,53,2등급,12,0.0702
유아기,F,53,3등급,27,0.1579
유아기,F,53,참가,128,0.7485
유아기,F,54,1등급,1,0.0048
유아기,F,54,2등급,4,0.0191
유아기,F,54,3등급,22,0.1053
유아기,F,54,참가,182,0.8708
유아기,F,55,1등급,1,0.0045
유아기,F,55,2등급,4,0.018
유아기,F,55,3등급,29,0.1306
유아기,F,55,참가,188,0.8468
유아기,F,56,1등급,0,0.0
유아기,F,56,2등급,12,0.0417
유아기,F,56,3등급,34,0.1181
유아기,F,56,참가,242,0.8403
유아기,F,57,1등급,5,0.0147
유아기,F,57,2등급,19,0.056
유아기,F,57,3등급,58,0.1711
유아기,F,57,참가,257,0.7581
유아기,F,58,1등급,4,0.0105
유아기,F,58,2등급,9,0.0236
유아기,F,58,3등급,47,0.123
유아기,F,58,참가,322,0.8429
유아기,F,59,1등급,5,0.0126
유아기,F,59,2등급,21,0.053
